"movie","count ( _id )","latitude","longitude"
"Thunivu & Varisu","1","78.4102882","17.4308362"
"Thunivu","1","75.1379848","15.3518378"
"Thunivu","4","86.63272982626935","21.49308515"
"Thunivu","3","77.401989","23.2584857"
"Thunivu","4","74.8580917","32.7185614"
"Thunivu","159","80.270186","13.0836939"
"Varisu","1","75.0356812","29.5389302"
"Thunivu","1","-77.7278831","40.9699889"
"Thunivu & Varisu","3","4.6667145","50.6402809"
"Thunivu","10","-123.113952","49.2608724"
"Varisu","40","75.7223521","14.5203896"
"Thunivu & Varisu","1","-97.001038","55.001251"
"Varisu","8","74.7870308","13.3519723"
"Varisu","1","82.58414558549191","17.32218765"
"Thunivu","8","112.4178015","-7.8344579"
"Thunivu","2","80.66247852355892","7.877395849999999"
"Thunivu & Varisu","1","76.3872297","15.266493"
"Thunivu","11","80.24099949725411","13.035944350000001"
"Thunivu","7","78.77085116013691","14.2012997"
"Thunivu","1","77.26537576524208","11.5523741"
"Thunivu & Varisu","1","79.0820556","21.1498134"
"Varisu","3","76.5955013","8.8879509"
"Thunivu & Varisu","1","76.9653837","11.0173318"
"Thunivu","4","-92.1657348","44.6991325"
"Thunivu","1","-106.650985","35.0841034"
"Thunivu & Varisu","2","82.5391297","25.1126399"
"Thunivu","1","73.77641686826863","18.567412500000003"
"Thunivu & Varisu","4","76.4374208","32.0291804"
"Thunivu & Varisu","19","139.2394179","36.5748441"
"Varisu","3","79.9873763","14.4493717"
"Thunivu & Varisu","1","72.9701779","19.1943294"
"Varisu","4","82.18422479792069","17.1213126"
"Varisu","36","-96.7968559","32.7762719"
"Varisu","9","-79.3839347","43.6534817"
"Thunivu","20","-0.1276474","51.5073219"
"Thunivu","1","2.2500524","45.9758392"
"Varisu","1","77.99506591814236","20.05331095"
"Varisu","1","88.0632655","22.028124"
"Thunivu & Varisu","2","77.7134377","13.2483502"
"Varisu","1","77.9693256","10.365646"
"Thunivu","1","-134.419734","58.3019496"
"Thunivu","3","8.2319736","46.7985624"
